op,dtype,mode,shape,latency_base_ms,latency_ms,speedup
CUTENSOR_OP_COS,fp32,kernel,[[32768]],0.013173,0.006788,1.9405
CUTENSOR_OP_COS,fp32,kernel,[[65536]],0.014077,0.006846,2.0562
CUTENSOR_OP_COS,fp32,kernel,[[131072]],0.014692,0.008058,1.8234
CUTENSOR_OP_COS,fp32,kernel,[[262144]],0.017077,0.009904,1.7243
CUTENSOR_OP_COS,fp32,kernel,[[524288]],0.023558,0.014615,1.6118
CUTENSOR_OP_COS,fp32,kernel,[[1048576]],0.037519,0.025885,1.4495
CUTENSOR_OP_COS,fp32,kernel,[[2097152]],0.062058,0.047212,1.3145
CUTENSOR_OP_COS,fp32,kernel,[[4194304]],0.139019,0.075942,1.8306
CUTENSOR_OP_COS,fp32,kernel,[[8388608]],0.254115,0.133712,1.9005
CUTENSOR_OP_COS,fp32,kernel,"[[128,128]]",0.010846,0.006077,1.7848
CUTENSOR_OP_COS,fp32,kernel,"[[32,64,16]]",0.013654,0.006962,1.9613
CUTENSOR_OP_COS,fp32,kernel,"[[64,256]]",0.010827,0.005981,1.8103
CUTENSOR_OP_COS,fp32,kernel,"[[16,64,64]]",0.013962,0.007212,1.9360
CUTENSOR_OP_COS,fp32,kernel,"[[256,512]]",0.014423,0.008115,1.7773
CUTENSOR_OP_COS,fp32,kernel,"[[128,1024]]",0.014654,0.007981,1.8361
CUTENSOR_OP_COS,fp32,kernel,"[[64,64,64]]",0.017038,0.009192,1.8536
CUTENSOR_OP_COS,fp32,kernel,"[[128,128,64]]",0.037442,0.025731,1.4552
CUTENSOR_OP_COSH,bf16,kernel,[[1024]],0.007435,0.003600,2.0652
CUTENSOR_OP_COSH,bf16,kernel,[[2048]],0.006231,0.003462,1.8000
CUTENSOR_OP_COSH,bf16,kernel,[[4096]],0.006346,0.003442,1.8436
CUTENSOR_OP_COSH,bf16,kernel,[[8192]],0.006635,0.003577,1.8548
CUTENSOR_OP_COSH,bf16,kernel,[[16384]],0.007019,0.003692,1.9010
CUTENSOR_OP_COSH,bf16,kernel,[[32768]],0.007654,0.003885,1.9703
